id;name;location;version;conditions;method;chance;minLvl;maxLvl;trigger;evolution_method;baby;generation;
1;bulbasaur;lumiose-city-area;X/Y;;gift;100;10;10;;;0;6;
2;ivysaur;no-location;;;;;;;level-up;min_level:16;0;6;
3;venusaur;no-location;;;;;;;level-up;min_level:32;0;6;
4;charmander;lumiose-city-area;X/Y;;gift;100;10;10;;;0;6;
5;charmeleon;no-location;;;;;;;level-up;min_level:16;0;6;
6;charizard;no-location;;;;;;;level-up;min_level:36;0;6;
7;squirtle;lumiose-city-area;X/Y;;gift;100;10;10;;;0;6;
8;wartortle;no-location;;;;;;;level-up;min_level:16;0;6;
9;blastoise;no-location;;;;;;;level-up;min_level:36;0;6;
10;caterpie;kalos-route-2-area;Y;;walk;10;3;3;;;0;6;
10;caterpie;kalos-route-2-area;Y;;walk;1;4;4;;;0;6;
10;caterpie;santalune-forest-area;X/Y;;walk;10;2;2;;;0;6;
10;caterpie;santalune-forest-area;Y;;walk;10;3;3;;;0;6;
11;metapod;santalune-forest-area;Y;;walk;4;4;4;level-up;min_level:7;0;6;
12;butterfree;no-location;;;;;;;level-up;min_level:10;0;6;
13;weedle;kalos-route-2-area;X;;walk;10;3;3;;;0;6;
13;weedle;kalos-route-2-area;X;;walk;1;4;4;;;0;6;
13;weedle;santalune-forest-area;X/Y;;walk;10;2;2;;;0;6;
13;weedle;santalune-forest-area;X;;walk;10;3;3;;;0;6;
14;kakuna;santalune-forest-area;X;;walk;4;4;4;level-up;min_level:7;0;6;
15;beedrill;no-location;;;;;;;level-up;min_level:10;0;6;
16;pidgey;kalos-route-2-area;X/Y;;walk;10;3;3;;;0;6;
16;pidgey;kalos-route-2-area;X/Y;;walk;4;4;4;;;0;6;
16;pidgey;kalos-route-3-area;X/Y;;walk;10;4;4;;;0;6;
17;pidgeotto;no-location;;;;;;;level-up;min_level:18;0;6;
18;pidgeot;no-location;;;;;;;level-up;min_level:36;0;6;
19;rattata;no-location;;;;;;;;;0;6;
20;raticate;no-location;;;;;;;level-up;min_level:20;0;6;
21;spearow;no-location;;;;;;;;;0;6;
22;fearow;no-location;;;;;;;level-up;min_level:20;0;6;
23;ekans;no-location;;;;;;;;;0;6;
24;arbok;no-location;;;;;;;level-up;min_level:22;0;6;
25;pikachu;kalos-route-3-area;X/Y;;walk;4;4;4;level-up;min_happiness:220;0;6;
25;pikachu;kalos-route-3-area;X/Y;;walk;1;5;5;level-up;min_happiness:220;0;6;
25;pikachu;santalune-forest-area;X/Y;;walk;5;3;3;level-up;min_happiness:220;0;6;
25;pikachu;santalune-forest-area;X/Y;;walk;1;4;4;level-up;min_happiness:220;0;6;
25;pikachu;slateport-city-contest-hall;OR/AS;;gift;100;20;20;level-up;min_happiness:220;0;6;
25;pikachu;verdanturf-town-contest-hall;OR/AS;;gift;100;20;20;level-up;min_happiness:220;0;6;
25;pikachu;fallarbor-town-contest-hall;OR/AS;;gift;100;20;20;level-up;min_happiness:220;0;6;
25;pikachu;lilycove-city-contest-hall;OR/AS;;gift;100;20;20;level-up;min_happiness:220;0;6;
26;raichu;no-location;;;;;;;use-item;item:thunder-stone;0;6;
27;sandshrew;no-location;;;;;;;;;0;6;
28;sandslash;kalos-route-18-area;X/Y;;walk;10;46;46;level-up;min_level:22;0;6;
28;sandslash;kalos-route-18-area;X/Y;;red-flowers;10;44;44;level-up;min_level:22;0;6;
28;sandslash;kalos-route-18-area;X/Y;;red-flowers;10;45;45;level-up;min_level:22;0;6;
28;sandslash;terminus-cave-unknown-area-343;X/Y;;walk;10;45;45;level-up;min_level:22;0;6;
28;sandslash;terminus-cave-unknown-area-343;X/Y;;walk;10;46;46;level-up;min_level:22;0;6;
28;sandslash;terminus-cave-unknown-area-344;X/Y;;walk;10;45;45;level-up;min_level:22;0;6;
28;sandslash;terminus-cave-unknown-area-344;X/Y;;walk;10;46;46;level-up;min_level:22;0;6;
28;sandslash;terminus-cave-unknown-area-345;X/Y;;walk;10;45;45;level-up;min_level:22;0;6;
28;sandslash;terminus-cave-unknown-area-345;X/Y;;walk;10;46;46;level-up;min_level:22;0;6;
28;sandslash;terminus-cave-unknown-area-347;X/Y;;walk;10;45;45;level-up;min_level:22;0;6;
28;sandslash;terminus-cave-unknown-area-347;X/Y;;walk;10;46;46;level-up;min_level:22;0;6;
28;sandslash;terminus-cave-unknown-area-348;X/Y;;walk;10;45;45;level-up;min_level:22;0;6;
28;sandslash;terminus-cave-unknown-area-348;X/Y;;walk;10;46;46;level-up;min_level:22;0;6;
29;nidoran-f;no-location;;;;;;;;;0;6;
30;nidorina;kalos-route-11-area;X/Y;;walk;5;21;21;level-up;min_level:16;0;6;
31;nidoqueen;no-location;;;;;;;use-item;item:moon-stone;0;6;
32;nidoran-m;no-location;;;;;;;;;0;6;
33;nidorino;kalos-route-11-area;X/Y;;walk;10;21;21;level-up;min_level:16;0;6;
34;nidoking;no-location;;;;;;;use-item;item:moon-stone;0;6;
35;clefairy;no-location;;;;;;;level-up;min_happiness:220;0;6;
36;clefable;no-location;;;;;;;use-item;item:moon-stone;0;6;
37;vulpix;no-location;;;;;;;;;0;6;
38;ninetales;no-location;;;;;;;use-item;item:fire-stone;0;6;
39;jigglypuff;kalos-route-20-area;X/Y;;walk;10;48;48;level-up;min_happiness:220;0;6;
39;jigglypuff;kalos-route-20-area;X/Y;;walk;10;49;49;level-up;min_happiness:220;0;6;
39;jigglypuff;kalos-route-20-area;X/Y;;red-flowers;10;50;50;level-up;min_happiness:220;0;6;
39;jigglypuff;pokemon-village-area;X/Y;;yellow-flowers;10;50;50;level-up;min_happiness:220;0;6;
39;jigglypuff;pokemon-village-area;X/Y;;purple-flowers;10;48;48;level-up;min_happiness:220;0;6;
39;jigglypuff;pokemon-village-area;X/Y;;purple-flowers;10;49;49;level-up;min_happiness:220;0;6;
40;wigglytuff;no-location;;;;;;;use-item;item:moon-stone;0;6;
41;zubat;connecting-cave-area;X/Y;;walk;10;13;13;;;0;6;
41;zubat;connecting-cave-area;X/Y;;walk;10;14;14;;;0;6;
41;zubat;connecting-cave-area;X/Y;;walk;10;15;15;;;0;6;
42;golbat;no-location;;;;;;;level-up;min_level:22;0;6;
43;oddish;kalos-route-6-area;X/Y;;rough-terrain;10;10;10;;;0;6;
43;oddish;kalos-route-6-area;X/Y;;rough-terrain;10;11;11;;;0;6;
43;oddish;kalos-route-6-area;X/Y;;rough-terrain;10;12;12;;;0;6;
44;gloom;no-location;;;;;;;level-up;min_level:21;0;6;
45;vileplume;no-location;;;;;;;use-item;item:leaf-stone;0;6;
46;paras;no-location;;;;;;;;;0;6;
47;parasect;no-location;;;;;;;level-up;min_level:24;0;6;
48;venonat;no-location;;;;;;;;;0;6;
49;venomoth;no-location;;;;;;;level-up;min_level:31;0;6;
50;diglett;no-location;;;;;;;;;0;6;
51;dugtrio;kalos-route-13-area;X/Y;;rough-terrain;10;26;26;level-up;min_level:26;0;6;
51;dugtrio;kalos-route-13-area;X/Y;;rough-terrain;10;27;27;level-up;min_level:26;0;6;
51;dugtrio;kalos-route-13-area;X/Y;;rough-terrain;10;28;28;level-up;min_level:26;0;6;
52;meowth;no-location;;;;;;;;;0;6;
53;persian;no-location;;;;;;;level-up;min_level:28;0;6;
54;psyduck;kalos-route-22-area;X/Y;;walk;10;6;6;;;0;6;
54;psyduck;kalos-route-22-area;X/Y;;yellow-flowers;10;25;25;;;0;6;
54;psyduck;kalos-route-22-area;X/Y;;yellow-flowers;10;26;26;;;0;6;
54;psyduck;kalos-route-22-area;X/Y;;surf;50;25;25;;;0;6;
54;psyduck;kalos-route-22-area;X/Y;;surf;30;26;26;;;0;6;
54;psyduck;kalos-route-22-area;X/Y;;surf;15;27;27;;;0;6;
55;golduck;no-location;;;;;;;level-up;min_level:33;0;6;
56;mankey;no-location;;;;;;;;;0;6;
57;primeape;no-location;;;;;;;level-up;min_level:28;0;6;
58;growlithe;no-location;;;;;;;;;0;6;
59;arcanine;no-location;;;;;;;use-item;item:fire-stone;0;6;
60;poliwag;couriway-town-area;X/Y;;old-rod;60;25;25;;;0;6;
60;poliwag;couriway-town-area;X/Y;;old-rod;35;25;25;;;0;6;
60;poliwag;couriway-town-area;X/Y;;old-rod;5;25;25;;;0;6;
60;poliwag;laverre-city-area;X/Y;;old-rod;60;15;15;;;0;6;
60;poliwag;laverre-city-area;X/Y;;old-rod;35;15;15;;;0;6;
60;poliwag;laverre-city-area;X/Y;;old-rod;5;15;15;;;0;6;
60;poliwag;kalos-route-14-area;X/Y;;old-rod;60;15;15;;;0;6;
60;poliwag;kalos-route-14-area;X/Y;;old-rod;35;15;15;;;0;6;
60;poliwag;kalos-route-14-area;X/Y;;old-rod;5;15;15;;;0;6;
60;poliwag;kalos-route-15-area;X/Y;;old-rod;60;15;15;;;0;6;
60;poliwag;kalos-route-15-area;X/Y;;old-rod;35;15;15;;;0;6;
60;poliwag;kalos-route-15-area;X/Y;;old-rod;5;15;15;;;0;6;
60;poliwag;kalos-route-16-area;X/Y;;old-rod;60;15;15;;;0;6;
60;poliwag;kalos-route-16-area;X/Y;;old-rod;35;15;15;;;0;6;
60;poliwag;kalos-route-16-area;X/Y;;old-rod;5;15;15;;;0;6;
60;poliwag;kalos-route-19-area;X/Y;;old-rod;60;25;25;;;0;6;
60;poliwag;kalos-route-19-area;X/Y;;old-rod;35;25;25;;;0;6;
60;poliwag;kalos-route-19-area;X/Y;;old-rod;5;25;25;;;0;6;
60;poliwag;kalos-route-21-area;X/Y;;old-rod;60;30;30;;;0;6;
60;poliwag;kalos-route-21-area;X/Y;;old-rod;35;30;30;;;0;6;
60;poliwag;kalos-route-21-area;X/Y;;old-rod;5;30;30;;;0;6;
60;poliwag;frost-cavern-unknown-area-313;X/Y;;old-rod;60;20;20;;;0;6;
60;poliwag;frost-cavern-unknown-area-313;X/Y;;old-rod;35;20;20;;;0;6;
60;poliwag;frost-cavern-unknown-area-313;X/Y;;old-rod;5;20;20;;;0;6;
60;poliwag;frost-cavern-unknown-area-315;X/Y;;old-rod;60;20;20;;;0;6;
60;poliwag;frost-cavern-unknown-area-315;X/Y;;old-rod;35;20;20;;;0;6;
60;poliwag;frost-cavern-unknown-area-315;X/Y;;old-rod;5;20;20;;;0;6;
60;poliwag;pokemon-village-area;X/Y;;old-rod;60;30;30;;;0;6;
60;poliwag;pokemon-village-area;X/Y;;old-rod;35;30;30;;;0;6;
60;poliwag;pokemon-village-area;X/Y;;old-rod;5;30;30;;;0;6;
60;poliwag;kalos-victory-road-unknown-area-322;X/Y;;old-rod;60;35;35;;;0;6;
60;poliwag;kalos-victory-road-unknown-area-322;X/Y;;old-rod;35;35;35;;;0;6;
60;poliwag;kalos-victory-road-unknown-area-322;X/Y;;old-rod;5;35;35;;;0;6;
60;poliwag;kalos-victory-road-unknown-area-327;X/Y;;old-rod;60;35;35;;;0;6;
60;poliwag;kalos-victory-road-unknown-area-327;X/Y;;old-rod;35;35;35;;;0;6;
60;poliwag;kalos-victory-road-unknown-area-327;X/Y;;old-rod;5;35;35;;;0;6;
60;poliwag;kalos-victory-road-unknown-area-328;X/Y;;old-rod;60;35;35;;;0;6;
60;poliwag;kalos-victory-road-unknown-area-328;X/Y;;old-rod;35;35;35;;;0;6;
60;poliwag;kalos-victory-road-unknown-area-328;X/Y;;old-rod;5;35;35;;;0;6;
61;poliwhirl;couriway-town-area;X/Y;;good-rod;35;35;35;level-up;min_level:25;0;6;
61;poliwhirl;couriway-town-area;X/Y;;super-rod;60;45;45;level-up;min_level:25;0;6;
61;poliwhirl;couriway-town-area;X/Y;;super-rod;5;45;45;level-up;min_level:25;0;6;
61;poliwhirl;laverre-city-area;X/Y;;good-rod;35;25;25;level-up;min_level:25;0;6;
61;poliwhirl;laverre-city-area;X/Y;;super-rod;60;35;35;level-up;min_level:25;0;6;
61;poliwhirl;laverre-city-area;X/Y;;super-rod;5;35;35;level-up;min_level:25;0;6;
61;poliwhirl;kalos-route-14-area;X/Y;;good-rod;35;35;35;level-up;min_level:25;0;6;
61;poliwhirl;kalos-route-14-area;X/Y;;super-rod;60;35;35;level-up;min_level:25;0;6;
61;poliwhirl;kalos-route-14-area;X/Y;;super-rod;5;35;35;level-up;min_level:25;0;6;
61;poliwhirl;kalos-route-15-area;X/Y;;good-rod;35;25;25;level-up;min_level:25;0;6;
61;poliwhirl;kalos-route-15-area;X/Y;;super-rod;60;35;35;level-up;min_level:25;0;6;
61;poliwhirl;kalos-route-15-area;X/Y;;super-rod;5;35;35;level-up;min_level:25;0;6;
61;poliwhirl;kalos-route-16-area;X/Y;;good-rod;35;25;25;level-up;min_level:25;0;6;
61;poliwhirl;kalos-route-16-area;X/Y;;super-rod;60;35;35;level-up;min_level:25;0;6;
61;poliwhirl;kalos-route-16-area;X/Y;;super-rod;5;35;35;level-up;min_level:25;0;6;
61;poliwhirl;kalos-route-19-area;X/Y;;good-rod;35;35;35;level-up;min_level:25;0;6;
61;poliwhirl;kalos-route-19-area;X/Y;;super-rod;60;45;45;level-up;min_level:25;0;6;
61;poliwhirl;kalos-route-21-area;X/Y;;good-rod;35;40;40;level-up;min_level:25;0;6;
61;poliwhirl;kalos-route-21-area;X/Y;;super-rod;60;50;50;level-up;min_level:25;0;6;
61;poliwhirl;frost-cavern-unknown-area-313;X/Y;;surf;50;38;38;level-up;min_level:25;0;6;
61;poliwhirl;frost-cavern-unknown-area-313;X/Y;;surf;15;39;39;level-up;min_level:25;0;6;
61;poliwhirl;frost-cavern-unknown-area-313;X/Y;;surf;1;40;40;level-up;min_level:25;0;6;
61;poliwhirl;frost-cavern-unknown-area-313;X/Y;;good-rod;35;30;30;level-up;min_level:25;0;6;
61;poliwhirl;frost-cavern-unknown-area-313;X/Y;;super-rod;60;40;40;level-up;min_level:25;0;6;
61;poliwhirl;frost-cavern-unknown-area-313;X/Y;;super-rod;5;40;40;level-up;min_level:25;0;6;
61;poliwhirl;frost-cavern-unknown-area-315;X/Y;;surf;50;38;38;level-up;min_level:25;0;6;
