# CSV-File created with merge-csv.com
# -----------------------------------------------------------

id;name;location;version;conditions;method;chance;minLvl;maxLvl;trigger;evolution_method;baby;generation;
1;bulbasaur;cerulean-city-area;Y;;gift;100%;10;10;;;no;1;
1;bulbasaur;pallet-town-area;R/B;;gift;100%;5;5;;;no;1;
2;ivysaur;no-location;;;;;;;level-up;min_level:16;no;1;
3;venusaur;no-location;;;;;;;level-up;min_level:32;no;1;
4;charmander;pallet-town-area;R/B;;gift;100%;5;5;;;no;1;
4;charmander;kanto-route-24-area;Y;;gift;100%;10;10;;;no;1;
5;charmeleon;no-location;;;;;;;level-up;min_level:16;no;1;
6;charizard;no-location;;;;;;;level-up;min_level:36;no;1;
7;squirtle;vermilion-city-area;Y;;gift;100%;10;10;;;no;1;
7;squirtle;pallet-town-area;R/B;;gift;100%;5;5;;;no;1;
8;wartortle;no-location;;;;;;;level-up;min_level:16;no;1;
9;blastoise;no-location;;;;;;;level-up;min_level:36;no;1;
10;caterpie;kanto-route-2-south-towards-viridian-city;B;;walk;10%;3;3;;;no;1;
10;caterpie;kanto-route-2-south-towards-viridian-city;B;;walk;4%;4;4;;;no;1;
10;caterpie;kanto-route-2-south-towards-viridian-city;B;;walk;1%;5;5;;;no;1;
10;caterpie;kanto-route-24-area;B;;walk;20%;7;7;;;no;1;
10;caterpie;kanto-route-25-area;R;;walk;1%;8;8;;;no;1;
10;caterpie;kanto-route-25-area;B;;walk;20%;8;8;;;no;1;
10;caterpie;viridian-forest-area;R;;walk;5%;3;3;;;no;1;
10;caterpie;viridian-forest-area;B;;walk;20%;4;4;;;no;1;
10;caterpie;viridian-forest-area;B;;walk;15%;3;3;;;no;1;
10;caterpie;viridian-forest-area;B/Y;;walk;10%;5;5;;;no;1;
10;caterpie;viridian-forest-area;Y;;walk;20%;3;3;;;no;1;
10;caterpie;viridian-forest-area;Y;;walk;15%;4;4;;;no;1;
10;caterpie;viridian-forest-area;Y;;walk;5%;6;6;;;no;1;
11;metapod;kanto-route-24-area;B;;walk;20%;8;8;level-up;min_level:7;no;1;
11;metapod;kanto-route-25-area;R;;walk;4%;7;7;level-up;min_level:7;no;1;
11;metapod;kanto-route-25-area;B;;walk;20%;9;9;level-up;min_level:7;no;1;
11;metapod;viridian-forest-area;R;;walk;5%;4;4;level-up;min_level:7;no;1;
