id;name;location;version;conditions;method;chance;minLvl;maxLvl;trigger;evolution_method;baby;generation;
1;bulbasaur;no-location;;;;;;;;;no;5;
2;ivysaur;no-location;;;;;;;level-up;min_level:16;no;5;
3;venusaur;no-location;;;;;;;level-up;min_level:32;no;5;
4;charmander;no-location;;;;;;;;;no;5;
5;charmeleon;no-location;;;;;;;level-up;min_level:16;no;5;
6;charizard;no-location;;;;;;;level-up;min_level:36;no;5;
7;squirtle;no-location;;;;;;;;;no;5;
8;wartortle;no-location;;;;;;;level-up;min_level:16;no;5;
9;blastoise;no-location;;;;;;;level-up;min_level:36;no;5;
10;caterpie;no-location;;;;;;;;;no;5;
11;metapod;unova-route-12-area;W;;walk;10;48;48;level-up;min_level:7;no;5;
11;metapod;unova-route-12-area;W;;dark-grass;10;59;59;level-up;min_level:7;no;5;
12;butterfree;unova-route-12-area;W;;grass-spots;5;50;50;level-up;min_level:10;no;5;
13;weedle;no-location;;;;;;;;;no;5;
14;kakuna;unova-route-12-area;B;;walk;10;48;48;level-up;min_level:7;no;5;
14;kakuna;unova-route-12-area;B;;dark-grass;10;59;59;level-up;min_level:7;no;5;
15;beedrill;unova-route-12-area;B;;grass-spots;5;50;50;level-up;min_level:10;no;5;
16;pidgey;no-location;;;;;;;;;no;5;
17;pidgeotto;no-location;;;;;;;level-up;min_level:18;no;5;
18;pidgeot;no-location;;;;;;;level-up;min_level:36;no;5;
19;rattata;castelia-city-area;B2/W2;;dark-grass;20;16;16;;;no;5;
19;rattata;castelia-city-area;B2/W2;;dark-grass;10;17;17;;;no;5;
19;rattata;castelia-city-area;B2/W2;;walk;20;15;15;;;no;5;
19;rattata;castelia-city-area;B2/W2;;walk;10;16;16;;;no;5;
19;rattata;castelia-sewers-area;B2/W2;;walk;20;14;14;;;no;5;
19;rattata;castelia-sewers-area;B2/W2;;walk;10;15;15;;;no;5;
19;rattata;castelia-sewers-area;B2/W2;;walk;10;16;16;;;no;5;
19;rattata;castelia-sewers-area;B2/W2;;walk;4;17;17;;;no;5;
19;rattata;castelia-sewers-area;B2/W2;;walk;1;17;17;;;no;5;
19;rattata;castelia-sewers-unknown-area-38;B2/W2;;walk;20;14;14;;;no;5;
19;rattata;castelia-sewers-unknown-area-38;B2/W2;;walk;10;15;15;;;no;5;
19;rattata;castelia-sewers-unknown-area-38;B2/W2;;walk;10;16;16;;;no;5;
19;rattata;castelia-sewers-unknown-area-38;B2/W2;;walk;4;17;17;;;no;5;
19;rattata;castelia-sewers-unknown-area-38;B2/W2;;walk;1;17;17;;;no;5;
19;rattata;relic-passage-castelia-sewers-entrance;B2/B2/W2/W2;;walk;5;17;17;;;no;5;
20;raticate;dreamyard-area;B/W;;dark-grass;10;48;48;level-up;min_level:20;no;5;
20;raticate;dreamyard-area;B2/W2;;dark-grass;10;65;65;level-up;min_level:20;no;5;
20;raticate;dreamyard-area;B2/W2;;walk;10;57;57;level-up;min_level:20;no;5;
20;raticate;dreamyard-b1f;B/W;;dark-grass;20;47;47;level-up;min_level:20;no;5;
20;raticate;dreamyard-b1f;B/W;;dark-grass;10;48;48;level-up;min_level:20;no;5;
20;raticate;dreamyard-b1f;B/W;;dark-grass;4;50;50;level-up;min_level:20;no;5;
20;raticate;dreamyard-b1f;B/W;;dark-grass;1;50;50;level-up;min_level:20;no;5;
20;raticate;dreamyard-b1f;B2/W2;;dark-grass;20;64;64;level-up;min_level:20;no;5;
20;raticate;dreamyard-b1f;B2/W2;;dark-grass;4;67;67;level-up;min_level:20;no;5;
20;raticate;dreamyard-b1f;B2/W2;;dark-grass;1;67;67;level-up;min_level:20;no;5;
20;raticate;strange-house-1f;B2/W2;;walk;10;32;32;level-up;min_level:20;no;5;
